"county_group","county_Deaths","county_Births","county_Mortality_rate","county_HC01_VC03","county_HC01_VC04","county_HC01_VC05","county_HC01_VC07","county_HC01_VC09","county_HC03_VC12_unemp_pct","county_HC01_VC74","county_HC01_VC85_inc_med","county_HC01_VC86_inc_mean","county_HC01_VC103","county_HC01_VC118","county_HC01_VC130","county_HC01_VC131_hc","county_HC03_VC131_hc_pct","county_HC01_VC132_hc_priv","county_HC03_VC132_hc_priv_pct","county_HC01_VC133_hc_pub","county_HC03_VC133_hc_pub_pct","county_HC01_VC134_nohc","county_HC03_VC134_nohc_pct","county_HC01_VC161_bpl","county_HC03_VC161_bpl_pct","county_HC01_VC162_bpl_18","county_HC03_VC162_bpl_18_pct","county_HC01_VC163_bpl_5","county_HC03_VC163_bpl_5_pct"
"Ada County, ID",21,5126,4.09676160749122,322908,214655,213995,14040,108253,6.5609009556298,157286,56356,74604,104620,28851,411477,365756,88.8885648529565,313091,76.0895505702627,97585,23.7157848433813,45721,11.1114351470435,8474.22,8.1,13077.5,12.5,14542.18,13.9
"Adams County, CO",31,6761,4.58512054429818,352413,249893,249542,19799,102520,7.93413533593543,156628,58946,72120,111036,25039,467743,387223,82.7854184883579,284123,60.7433996874352,139360,29.7941390892007,80520,17.2145815116421,11436.708,10.3,17099.544,15.4,16544.364,14.9
"Alameda County, CA",76,19434,3.91067201811259,1279499,849845,848232,70100,429654,8.26424846032689,558907,75619,101953,368905,37285,1573351,1414617,89.9110878627846,1112221,70.6912189333467,438949,27.8989875749277,158734,10.0889121372154,31356.925,8.5,45375.315,12.3,38366.12,10.4
"Albany County, NY",20,3095,6.46203554119548,255718,165979,165753,10553,89739,6.36670226179918,123451,59887,78816,67890,32779,303811,285636,94.0176622966252,236064,77.7009390706722,91499,30.1170793684231,18175,5.9823377033748,5431.2,8,9844.05,14.5,10522.95,15.5
"Allegheny County, PA",83,13311,6.23544436931861,1023076,659140,658754,46495,363936,7.05802165907152,529534,53040,74741,305488,32848,1217037,1133488,93.135048482503,936223,76.9264204785886,379549,31.1863156173559,83549,6.864951517497,27493.92,9,48267.104,15.8,49794.544,16.3
"Allen County, IN",41,5269,7.78136268741697,277397,185227,185142,14848,92170,8.01979021507816,140536,49092,65242,91978,25770,359824,310205,86.2102027657966,240652,66.8804748988394,104796,29.1242385166081,49619,13.7897972342034,11037.36,12,18027.688,19.6,18671.534,20.3
"Anchorage Borough, AK",28,4589,6.10154717803443,231795,171644,163294,10939,60151,6.69896015775227,105175,78326,99630,69652,36920,287811,243173,84.4905163457964,199911,69.459124216934,70378,24.4528527401663,44638,15.5094836542036,3900.512,5.6,6477.636,9.3,5641.812,8.1
"Anne Arundel County, MD",36,6936,5.19031141868512,442656,313957,301868,17776,128699,5.88866656949395,203336,89860,111210,141164,41706,535171,500991,93.6132563236797,436741,81.6077478039729,134164,25.0693703507851,34180,6.38674367632028,5364.232,3.8,7764.02,5.5,7199.364,5.1
"Anoka County, MN",13,4278,3.03880317905563,264912,193333,193205,12015,71579,6.21878315778577,124477,70873,84709,89478,31775,336408,315074,93.6582958788138,266901,79.3384818434758,86305,25.6548595752776,21334,6.34170412118618,4921.29,5.5,7874.064,8.8,7426.674,8.3
"Arapahoe County, CO",50,7960,6.28140703517588,473975,337326,335681,24183,136649,7.20416109341905,229601,63265,87869,152068,34190,603211,524417,86.9375724249061,424177,70.3198383318607,156955,26.0199167455501,78794,13.062427575094,12317.508,8.1,19008.5,12.5,20681.248,13.6
"Atlantic County, NJ",19,2968,6.40161725067385,221065,146814,146420,18269,74251,12.4771206119383,101818,54461,73169,68395,28005,272459,237284,87.0898006672564,182159,66.857398727882,91016,33.4053931050176,35175,12.9101993327436,8275.795,12.1,13473.815,19.7,17509.12,25.6
"Baltimore city, MD",72,8660,8.31408775981524,503838,312023,311656,40726,191815,13.0676130092153,242268,42241,61731,124878,25707,612619,549227,89.6522961253242,343891,56.1345632440391,269138,43.9323625287495,63392,10.3477038746758,23726.82,19,35964.864,28.8,28222.428,22.6
"Baltimore County, MD",61,9991,6.10549494545091,665725,443256,442686,30487,222469,6.88682271406821,312900,67095,89111,203679,35011,814797,748969,91.9209324531141,612956,75.2280629408307,241852,29.682485330702,65828,8.07906754688591,12831.777,6.3,20367.9,10,20367.9,10
"Bell County, TX",43,6500,6.61538461538461,243040,161142,140938,13388,81898,9.49921241964552,109844,50550,64628,79124,23535,303696,260710,85.8457141351878,213313,70.238988988989,89099,29.3382197987461,42986,14.1542858648122,9574.004,12.1,14558.816,18.4,14479.692,18.3
"Bergen County, NJ",20,9499,2.10548478787241,748494,491623,491436,31824,256871,6.47571606475716,335550,85806,118911,241746,44002,920477,818757,88.9492078563614,694658,75.4671762575273,214210,23.2716298180183,101720,11.0507921436386,14021.268,5.8,19581.426,8.1,16922.22,7
"Berks County, PA",29,4754,6.10012620950778,330102,217331,217230,19527,112771,8.98908990470929,153312,55936,71198,105998,27146,409151,370967,90.6675041732759,291395,71.2194275463093,133316,32.5835693912516,38184,9.33249582672412,10917.794,10.3,19079.64,18,16429.69,15.5
"Bernalillo County, NM",39,7920,4.92424242424242,535086,338148,335809,28053,196938,8.35385591214053,263270,47725,65694,161704,26765,666484,569855,85.5016774596239,390154,58.5391397242845,251386,37.7182347963342,96629,14.4983225403761,24255.6,15,37838.736,23.4,37191.92,23
"Bexar County, TX",187,28182,6.63544106167057,1396634,908244,890280,66157,488390,7.43103293345914,618831,51150,69019,419295,24735,1793642,1470792,82.0003099838206,1095456,61.0743950019012,551935,30.7717482083939,322850,17.9996900161794,57862.71,13.8,84278.295,20.1,81343.23,19.4
"Brazoria County, TX",22,4943,4.4507384179648,251661,163141,163038,8748,88520,5.36562028484157,112510,69749,87575,82536,30634,321393,268655,83.5908062714496,223808,69.6368620349541,69849,21.733205141369,52738,16.4091937285504,6850.488,8.3,9326.568,11.3,7180.632,8.7
"Brevard County, FL",32,5246,6.09988562714449,462632,259089,257738,28045,203543,10.8812049445561,222791,48925,65150,141695,27571,548302,467883,85.3330828630937,351840,64.169016345007,208767,38.0751848433892,80419,14.6669171369063,14027.805,9.9,25363.405,17.9,28197.305,19.9
"Bristol County, MA",18,5676,3.17124735729387,449436,296108,295912,26521,153328,8.96246181297142,212029,56842,74815,138877,29607,545791,524870,96.1668477494132,384776,70.4987806687908,213226,39.0673352986766,20921,3.83315225058676,13332.192,9.6,21248.181,15.3,23747.967,17.1
"Bronx County, NY",108,21493,5.02489182524543,1102377,655728,655467,91564,446649,13.9692768667225,484902,34299,50191,319265,18456,1406091,1213943,86.33459712067,606165,43.1099409639917,731648,52.0341855541355,192148,13.66540287933,90351.995,28.3,118766.58,37.2,89713.465,28.1
"Broward County, FL",118,22311,5.28887096051275,1489265,991446,990423,99426,497819,10.0387410227751,670284,51968,73358,425680,28381,1832097,1469174,80.1908414237892,1069431,58.3719639298574,538773,29.4074494963968,362923,19.8091585762108,47676.16,11.2,68108.8,16,68534.48,16.1
"Bucks County, PA",20,6014,3.3255736614566,507923,345878,345609,24121,162045,6.97927426658449,233066,77568,101658,166529,38795,620447,583653,94.0697593831544,517242,83.3660248175912,152090,24.5129720991479,36794,5.9302406168456,6994.218,4.2,10990.914,6.6,15154.139,9.1
"Burlington County, NJ",21,4422,4.74898236092266,363543,246228,242401,20635,117315,8.51275366025718,164659,78621,99207,114777,37255,436086,406590,93.2361965300422,354836,81.3683539485331,111865,25.6520502836596,29496,6.76380346995776,5050.188,4.4,7919.613,6.9,8034.39,7
