"state","state_Deaths","state_Births","state_Mortality_rate","state_HC01_VC03","state_HC01_VC04","state_HC01_VC05","state_HC01_VC07","state_HC01_VC09","state_HC03_VC12_unemp_pct","state_HC01_VC74","state_HC01_VC85_inc_med","state_HC01_VC86_inc_mean","state_HC01_VC103","state_HC01_VC118","state_HC01_VC130","state_HC01_VC131_hc","state_HC03_VC131_hc_pct","state_HC01_VC132_hc_priv","state_HC03_VC132_hc_priv_pct","state_HC01_VC133_hc_pub","state_HC03_VC133_hc_pub_pct","state_HC01_VC134_nohc","state_HC03_VC134_nohc_pct","state_HC01_VC161_bpl","state_HC03_VC161_bpl_pct","state_HC01_VC162_bpl_18","state_HC03_VC162_bpl_18_pct","state_HC01_VC163_bpl_5","state_HC03_VC163_bpl_5_pct"
"AK",78,11282,6.91366778939904,565212,399077,382393,31285,166135,8.1813736130107,250969,72648.0888516112,89746.2894620451,167562,879656,709358,580394,81.8196171749667,460366,64.8989649796013,187536,26.4374265180628,128964,18.1803828250333,11688.949,6.97589489263676,18209.742,10.8674651770688,19695.857,11.7543697258328
"AL",496,59657,8.31419615468428,3846845,2242401,2229422,207097,1604444,9.28926869834423,1848325,44494.4912014932,60511.3091517996,1238967,1392323,4749786,4148627,87.3434508417853,3122837,65.7468989129194,1648163,34.6997317352824,601159,12.6565491582147,178954.189,14.4438220711286,289824.272,23.3924125501325,298441.225,24.0879075068182
"AR",293,38886,7.53484544566168,2328384,1365791,1361024,104943,962593,7.71059143703564,1138025,41795.6725810066,57304.0884857538,759924,1505402,2905193,2493760,85.8380148926422,1734526,59.7043294541877,1114777,38.371874088916,411433,14.1619851073578,108241.124,14.2436775256473,175277.811,23.0651763860597,201168.659,26.4722076154984
"AZ",467,85351,5.47152347365584,5207123,3106324,3089118,275712,2100799,8.92526604681336,2412212,50355.3062769773,68297.020868398,1581380,315788,6533509,5551125,84.9639144906665,3977054,60.8716388084871,2324123,35.5723547637265,982384,15.0360855093335,210604.109,13.3177420354374,336175.474,21.2583613046833,324857.491,20.5426583743313
"CA",2172,489460,4.43754341519225,30312429,19269449,19137441,1891081,11042980,9.88157716593352,12717801,63599.2288005607,87876.8429502868,8732734,1618351,37912312,32338467,85.2980609570843,23202289,61.1998788150931,12356668,32.5927577299955,5573845,14.7019390429157,1062473.339,12.1665601975281,1568831.722,17.9649548698037,1367591.828,15.6605231305568
"CO",301,63681,4.7266845683956,4168824,2852439,2820014,195578,1316385,6.93535564007838,2024468,61607.2737316668,81635.3754462901,1300972,1775824,5187214,4548363,87.6841209944298,3614783,69.6864058432908,1452882,28.0089080573888,638851,12.3158790055702,110419.465,8.48745899219968,175780.344,13.5114625064951,172307.958,13.2445554554595
"CT",201,35746,5.62300676998825,2906229,1962170,1953709,172292,944059,8.81871353410359,1352583,70920.6661757541,99992.3720725456,895639,296201,3538599,3258970,92.097748289648,2552771,72.1407257505018,1107788,31.3058360102402,279629,7.90225171035203,67392.865,7.52455676896607,109273.634,12.2006337374768,108828.848,12.1509724342062
"DC",84,9578,8.77009814157444,546805,377072,373626,35811,169733,9.58471840824782,273390,70848,107594,118737,47675,636610,599599,94.186236471309,442948,69.5791772042538,223636,35.1291999811502,37011,5.81376352869104,16979.391,14.3,25884.666,21.8,15792.021,13.3
"DE",102,11166,9.13487372380441,744949,473007,470039,36223,271942,7.70638181087101,344022,60860.4051397876,79262.2305027004,230307,86856,911788,836681,91.7626685150496,644689,70.7060193816984,322036,35.3191750713982,75107,8.23733148495045,18870.371,8.19357249236888,32404.204,14.0700039512477,33562.554,14.5729630449791
"FL",1399,224269,6.23804449121368,16077778,9510681,9457267,915976,6567097,9.68541968837297,7300494,47819.2818210658,67974.5334519828,4699888,1574624,19335250,15860768,82.0303228559238,11376233,58.8367515289433,6808080,35.2107161789995,3474482,17.9696771440762,565768.439,12.037913222613,932103.837,19.8324691354347,895101.102,19.0451581399387
